mutex,What is a mutex?,A lock for ensuring mutual exclusion in concurrency,A styling lock,A compression lock,An encryption lock,A lock for ensuring mutual exclusion in concurrency,,,,,,
memory management,What is memory management in operating systems?,Allocating and deallocating memory for processes,Styling memory,Compressing memory,Encrypting memory,Allocating and deallocating memory for processes,,,,,,
virtual memory,What is virtual memory?,A technique to simulate more memory than physically available,Physical memory,Styled memory,Compressed memory,A technique to simulate more memory than physically available,,,,,,
paging,What is paging in memory management?,Dividing memory into fixed-size pages,Dividing memory into variable sizes,Styling memory,Encrypting memory,Dividing memory into fixed-size pages,,,,,,
osi model,What is the OSI model?,A framework for network communication layers,A styling framework,A database model,A compression model,A framework for network communication layers,,,,,,
tcp ip,What is TCP/IP?,A protocol suite for internet communication,A styling protocol,A database protocol,A compression protocol,A protocol suite for internet communication,,,,,,
http,What is HTTP?,A protocol for web data transfer,A styling protocol,A database protocol,A compression protocol,A protocol for web data transfer,,,,,,
https,What is HTTPS?,HTTP with secure encryption,A styling protocol,A database protocol,A compression protocol,HTTP with secure encryption,,,,,,
dns,What does DNS do?,Translates domain names to IP addresses,Styles web pages,Manages databases,Compresses data,Translates domain names to IP addresses,,,,,,
ip address,What is an IP address?,A unique identifier for a device on a network,A styling rule,A database key,A compression code,A unique identifier for a device on a network,,,,,,
ports,What is a port in networking?,A communication endpoint for network services,A styling endpoint,A database endpoint,A compression endpoint,A communication endpoint for network services,,,,,,
sockets,What is a socket in networking?,An endpoint for sending/receiving data,A styling tool,A database tool,A compression tool,An endpoint for sending/receiving data,,,,,,
firewalls,What is a firewall?,A security system to control network traffic,A styling system,A database system,A compression system,A security system to control network traffic,,,,,,
load balancers,What does a load balancer do?,Distributes network traffic across servers,Styles network traffic,Compresses network traffic,Encrypts network traffic,Distributes network traffic across servers,,,,,,
encryption,What is encryption?,Converting data into a secure format,Sorting data,Compressing data,Styling data,Converting data into a secure format,,,,,,
symmetric encryption,What is symmetric encryption?,Using the same key for encryption and decryption,Using different keys,Sorting data,Compressing data,Using the same key for encryption and decryption,,,,,,
asymmetric encryption,What is asymmetric encryption?,Using a public-private key pair,Using a single key,Sorting data,Compressing data,Using a public-private key pair,,,,,,
hashing,What is hashing?,Generating a fixed-size value from data,Sorting data,Compressing data,Styling data,Generating a fixed-size value from data,,,,,,
digital signatures,What are digital signatures used for?,Verifying data authenticity and integrity,Styling data,Compressing data,Sorting data,Verifying data authenticity and integrity,,,,,,
ssl tls,What do SSL/TLS protocols provide?,Secure communication over a network,Styled communication,Compressed communication,Sorted communication,Secure communication over a network,,,,,,
sql injection,What is SQL injection?,Injecting malicious SQL code into queries,Styling SQL queries,Compressing SQL queries,Sorting SQL queries,Injecting malicious SQL code into queries,,,,,,
cross site scripting,What is Cross-Site Scripting (XSS)?,Injecting malicious scripts into web pages,Styling web pages,Compressing web pages,Sorting web pages,Injecting malicious scripts into web pages,,,,,,
cross site request forgery,What is Cross-Site Request Forgery (CSRF)?,Tricking users into executing unwanted actions,Styling user actions,Compressing user actions,Sorting user actions,Tricking users into executing unwanted actions,,,,,,
authentication vs authorization,What is the difference between authentication and authorization?,Authentication verifies identity; authorization grants access,Authentication grants access; authorization verifies identity,Both are the same,Neither involves security,Authentication verifies identity; authorization grants access,,,,,,
machine learning,What is machine learning?,Algorithms learning from data to make predictions,Sorting data,Compressing data,Styling data,Algorithms learning from data to make predictions,,,,,,
supervised learning,What is supervised learning?,Learning from labeled data,Learning from unlabeled data,Sorting data,Compressing data,Learning from labeled data,,,,,,
unsupervised learning,What is unsupervised learning?,Learning from unlabeled data,Learning from labeled data,Sorting data,Compressing data,Learning from unlabeled data,,,,,,
classification,What is classification in machine learning?,Predicting discrete labels,Predicting continuous values,Sorting data,Compressing data,Predicting discrete labels,,,,,,
regression,What is regression in machine learning?,Predicting continuous values,Predicting discrete labels,Sorting data,Compressing data,Predicting continuous values,,,,,,
clustering,What is clustering in machine learning?,Grouping similar data points,Classifying data,Sorting data,Compressing data,Grouping similar data points,,,,,,
neural networks,What are neural networks?,Models inspired by the human brain,Sorting algorithms,Compression algorithms,Styling algorithms,Models inspired by the human brain,,,,,,
deep learning,What is deep learning?,Using neural networks with many layers,Using shallow networks,Sorting data,Compressing data,Using neural networks with many layers,,,,,,
natural language processing,What is natural language processing?,Processing and analyzing human language,Sorting text,Compressing text,Styling text,Processing and analyzing human language,,,,,,
computer vision,What is computer vision?,Enabling machines to interpret visual data,Sorting images,Compressing images,Styling images,Enabling machines to interpret visual data,,,,,,
try catch blocks,What do try-catch blocks do?,Handle exceptions in code,Style code,Compress code,Sort code,Handle exceptions in code,,,,,,
garbage collection,What is garbage collection?,Automatic memory deallocation,Manual memory allocation,Code styling,Code compression,Automatic memory deallocation,,,,,,
memory leaks,What is a memory leak?,Memory not released after use,Memory released too early,Styled memory,Compressed memory,Memory not released after use,,,,,,
references,What is a reference in programming?,A pointer to a memory location,A fixed value,A styled variable,A compressed variable,A pointer to a memory location,,,,,,
python list comprehensions,What is a Python list comprehension?,A concise way to create lists,A sorting method,A compression method,A styling method,A concise way to create lists,,,,,,
java interfaces,What is a Java interface?,A contract for classes to implement,A class with fields,A styling rule,A compression rule,A contract for classes to implement,,,,,,
c plus plus templates,What are C++ templates?,Generic programming constructs,Styling constructs,Compression constructs,Sorting constructs,Generic programming constructs,,,,,,
javascript prototypes,What are JavaScript prototypes?,Objects for inheritance,Styling objects,Compression objects,Sorting objects,Objects for inheritance,,,,,,
ruby blocks,What are Ruby blocks?,Anonymous functions passed to methods,Styling functions,Compression functions,Sorting functions,Anonymous functions passed to methods,,,,,,
php sessions,What are PHP sessions?,Server-side storage for user data,Client-side storage,Styling data,Compressing data,Server-side storage for user data,,,,,,
go routines,What are Go routines?,Lightweight threads in Go,Styling threads,Compression threads,Sorting threads,Lightweight threads in Go,,,,,,
rust ownership,What is Rust ownership?,A system for managing memory safety,Styling memory,Compressing memory,Sorting memory,A system for managing memory safety,,,,,,
swift optionals,What are Swift optionals?,Variables that may be nil,Fixed variables,Styled variables,Compressed variables,Variables that may be nil,,,,,,
kotlin coroutines,What are Kotlin coroutines?,Asynchronous programming constructs,Styling constructs,Compression constructs,Sorting constructs,Asynchronous programming constructs,,,,,,
ides,What is an IDE?,An integrated development environment,Styling software,Compression software,Sorting software,An integrated development environment,,,,,,
text editors,What is a text editor?,Software for editing plain text,Database software,Styling software,Compression software,Software for editing plain text,,,,,,
virtual machines,What is a virtual machine?,Emulated computer system,Physical computer,Styled computer,Compressed computer,Emulated computer system,,,,,,
containers,What are containers?,Lightweight, isolated environments,Physical servers,Styled environments,Compressed environments,Lightweight, isolated environments,,,,
docker,What is Docker?,A platform for containerization,Styling platform,Compression platform,Sorting platform,A platform for containerization,,,,,,
kubernetes,What is Kubernetes?,Orchestrates containerized applications,Styles containers,Compresses containers,Sorts containers,Orchestrates containerized applications,,,,,,
cloud computing,What is cloud computing?,Delivering computing services over the internet,Local computing,Styled computing,Compressed computing,Delivering computing services over the internet,,,,,,
aws,What is AWS?,Amazon’s cloud computing platform,Styling platform,Compression platform,Sorting platform,Amazon’s cloud computing platform,,,,,,
azure,What is Azure?,Microsoft’s cloud computing platform,Styling platform,Compression platform,Sorting platform,Microsoft’s cloud computing platform,,,,,,
gcp,What is GCP?,Google’s cloud computing platform,Styling platform,Compression platform,Sorting platform,Google’s cloud computing platform,,,,,,
microservices,What are microservices?,Small, independent services,Monolithic services,Styled services,Compressed services,Small, independent services,,,,
serverless architecture,What is serverless architecture?,Running code without managing servers,Managing physical servers,Styling servers,Compressing servers,Running code without managing servers,,,,,,
graphql,What is GraphQL?,A query language for APIs,Styling language,Compression language,Sorting language,A query language for APIs,,,,,,
mvc pattern,What is the MVC pattern?,Separates Model, View, Controller,Styles code,Compresses code,Sorts code,Separates Model, View, Controller,,
mvvm pattern,What is the MVVM pattern?,Separates Model, View, ViewModel,Styles code,Compresses code,Sorts code,Separates Model, View, ViewModel,,
observer pattern,What is the Observer pattern?,Notifies objects of state changes,Creates objects,Styles objects,Compresses objects,Notifies objects of state changes,,,,,,
decorator pattern,What is the Decorator pattern?,Dynamically adds responsibilities to objects,Creates objects,Styles objects,Sorts objects,Dynamically adds responsibilities to objects,,,,,,
command pattern,What is the Command pattern?,Encapsulates requests as objects,Styles requests,Compresses requests,Sorts requests,Encapsulates requests as objects,,,,,,
strategy pattern,What is the Strategy pattern?,Defines interchangeable algorithms,Styles algorithms,Compresses algorithms,Sorts algorithms,Defines interchangeable algorithms,,,,,,
state pattern,What is the State pattern?,Allows an object to alter its behavior,Styles objects,Compresses objects,Sorts objects,Allows an object to alter its behavior,,,,,,
adapter pattern,What is the Adapter pattern?,Converts one interface to another,Styles interfaces,Compresses interfaces,Sorts interfaces,Converts one interface to another,,,,,,
facade pattern,What is the Facade pattern?,Simplifies complex subsystems,Complicates systems,Styles systems,Sorts systems,Simplifies complex subsystems,,,,,,
proxy pattern,What is the Proxy pattern?,Controls access to an object,Styles objects,Compresses objects,Sorts objects,Controls access to an object,,,,,,
iterator pattern,What is the Iterator pattern?,Provides sequential access to elements,Styles elements,Compresses elements,Sorts elements,Provides sequential access to elements,,,,,,
visitor pattern,What is the Visitor pattern?,Separates operations from object structures,Styles objects,Compresses objects,Sorts objects,Separates operations from object structures,,,,,,
template method pattern,What is the Template Method pattern?,Defines algorithm skeleton with customizable steps,Styles algorithms,Compresses algorithms,Sorts algorithms,Defines algorithm skeleton with customizable steps,,,,,,
chain of responsibility pattern,What is the Chain of Responsibility pattern?,Passes requests along a chain,Styles requests,Compresses requests,Sorts requests,Passes requests along a chain,,,,,,
mediator pattern,What is the Mediator pattern?,Centralizes communication between objects,Styles objects,Compresses objects,Sorts objects,Centralizes communication between objects,,,,,,
pure functions,What is a pure function?,A function with no side effects,Function with side effects,Styled function,Compressed function,A function with no side effects,,,,,,
immutability,What is immutability?,Data that cannot be changed,Data that must change,Styled data,Compressed data,Data that cannot be changed,,,,,,
function composition,What is function composition?,Combining functions to produce a new function,Styling functions,Compressing functions,Sorting functions,Combining functions to produce a new function,,,,,,
partial application,What is partial application?,Fixing some arguments of a function,Styling arguments,Compressing arguments,Sorting arguments,Fixing some arguments of a function,,,,,,
tail recursion,What is tail recursion?,Recursion where the recursive call is the last operation,Recursion at the start,Styled recursion,Compressed recursion,Recursion where the recursive call is the last operation,,,,,,
foldables,What are foldables in functional programming?,Data structures that can be folded,Styled structures,Compressed structures,Sorted structures,Data structures that can be folded,,,,,,
traversables,What are traversables in functional programming?,Data structures that can be traversed with effects,Styled structures,Compressed structures,Sorted structures,Data structures that can be traversed with effects,,,,,,
lenses,What are lenses in functional programming?,Tools for accessing and updating data immutably,Styling tools,Compression tools,Sorting tools,Tools for accessing and updating data immutably,,,,,,
effect systems,What are effect systems in functional programming?,Managing side effects in a controlled way,Styling effects,Compressing effects,Sorting effects,Managing side effects in a controlled way,,,,,,
referential transparency,What is referential transparency?,Expressions that can be replaced with their values,Styled expressions,Compressed expressions,Sorted expressions,Expressions that can be replaced with their values,,,,,,
type inference,What is type inference?,Automatically determining variable types,Manually setting types,Styling types,Compressing types,Automatically determining variable types,,,,,,
polymorphic method,What is a polymorphic method?,A method that works with different types,Styled method,Compressed method,Sorted method,A method that works with different types,,,,,,
event bubbling,What is event bubbling in JavaScript?,Events propagating up the DOM,Events staying local,Styled events,Compressed events,Events propagating up the DOM,,,,,,
friend function,What is a friend function in C++?,A function with access to private class members,Styled function,Compressed function,Sorted function,A function with access to private class members,,,,,,
overloaded constructor,What is an overloaded constructor?,Multiple constructors with different parameters,Single constructor,Styled constructor,Compressed constructor,Multiple constructors with different parameters,,,,,,
queue (collections.deque),What is collections.deque in Python?,A double-ended queue,Single-ended queue,Styled queue,Compressed queue,A double-ended queue,,,,,,
thunk,What is a thunk in programming?,A delayed computation,Immediate computation,Styled computation,Compressed computation,A delayed computation,,,,,,
dataframe (pandas),What is a DataFrame in pandas?,A tabular data structure,Styled table,Compressed table,Sorted table,A tabular data structure,,,,,,
service worker,What is a service worker?,A script for offline web capabilities,Styled script,Compressed script,Sorted script,A script for offline web capabilities,,,,,,
web worker,What is a web worker?,A script running in the background,Styled script,Compressed script,Sorted script,A script running in the background,,,,,,
intersection observer,What is the Intersection Observer API?,Monitors element visibility,Styles elements,Compresses elements,Sorts elements,Monitors element visibility,,,,,,
logging,What is logging in programming?,Recording application events,Styling events,Compressing events,Sorting events,Recording application events,,,,,,
concepts,What are concepts in C++20?,Constraints on template parameters,Styled templates,Compressed templates,Sorted templates,Constraints on template parameters,,,,,,
fenwick tree,What is a Fenwick Tree?,A data structure for cumulative sums,Styled tree,Compressed tree,Sorted tree,A data structure for cumulative sums,,,,,,
executor service,What is the Executor Service in Java?,Manages thread pools,Styles threads,Compresses threads,Sorts threads,Manages thread pools,,,,,,
huffman coding,What is Huffman Coding?,A compression algorithm,Sorting algorithm,Styling algorithm,Encryption algorithm,A compression algorithm,,,,,,
descriptors,What are descriptors in Python?,Objects defining attribute access,Styled objects,Compressed objects,Sorted objects,Objects defining attribute access,,,,,,
sfinae,What does SFINAE stand for in C++?,Substitution Failure Is Not An Error,Styled Failure,Compressed Failure,Sorted Failure,Substitution Failure Is Not An Error,,,,,,
argparse,What is argparse in Python?,A library for command-line arguments,Styled arguments,Compressed arguments,Sorted arguments,A library for command-line arguments,,,,,,
shadow dom,What is the Shadow DOM?,Encapsulated DOM for web components,Styled DOM,Compressed DOM,Sorted DOM,Encapsulated DOM for web components,,,,,,
memory alignment,What is memory alignment?,Optimizing data placement in memory,Styling memory,Compressing memory,Sorting memory,Optimizing data placement in memory,,,,,,
custom event,What is a custom event in JavaScript?,User-defined events,Styled events,Compressed events,Sorted events,User-defined events,,,,,,
ast,What is an AST in programming?,Abstract Syntax Tree,Styled Tree,Compressed Tree,Sorted Tree,Abstract Syntax Tree,,,,,,
kmp algorithm,What is the KMP Algorithm?,String matching algorithm,Sorting algorithm,Compression algorithm,Encryption algorithm,String matching algorithm,,,,,,
manacher's algorithm,What is Manacher's Algorithm?,Finds longest palindromic substring,Sorts strings,Compresses strings,Styles strings,Finds longest palindromic substring,,,,,,
intl api,What is the Intl API in JavaScript?,Handles internationalization,Styles text,Compresses text,Sorts text,Handles internationalization,,,,,,
reservoir sampling,What is reservoir sampling?,Random sampling from a stream,Sorting streams,Compressing streams,Styling streams,Random sampling from a stream,,,,,,
struct module,What is the struct module in Python?,Handles binary data,Styles data,Compresses data,Sorts data,Handles binary data,,,,,,
fold expression,What is a fold expression in C++?,Simplifies variadic template operations,Styles templates,Compresses templates,Sorts templates,Simplifies variadic template operations,,,,,,
approximation algorithm,What is an approximation algorithm?,Provides near-optimal solutions,Provides exact solutions,Styles solutions,Compresses solutions,Provides near-optimal solutions,,,,,,
webgl,What is WebGL?,A JavaScript API for 3D graphics,Styled graphics,Compressed graphics,Sorted graphics,A JavaScript API for 3D graphics,,,,,,
code introspection,What is code introspection?,Examining code at runtime,Styling code,Compressing code,Sorting code,Examining code at runtime,,,,,,
error boundary,What is an error boundary in React?,Handles JavaScript errors in components,Styles errors,Compresses errors,Sorts errors,Handles JavaScript errors in components,,,,,,
memory order,What is memory order in concurrent programming?,Defines memory access ordering,Styles memory,Compresses memory,Sorts memory,Defines memory access ordering,,,,,,
tree shaking,What is tree shaking?,Removing unused code in JavaScript,Styling code,Compressing code,Sorting code,Removing unused code in JavaScript,,,,,,
static assert,What is a static assert in C++?,Compile-time assertion,Runtime assertion,Styled assertion,Compressed assertion,Compile-time assertion,,,,,,
fluent interface,What is a fluent interface?,Method chaining for readability,Styled interface,Compressed interface,Sorted interface,Method chaining for readability,,,,,,
server-side rendering,What is server-side rendering?,Rendering web pages on the server,Client-side rendering,Styled rendering,Compressed rendering,Rendering web pages on the server,,,,,,
monadic operations,What are monadic operations?,Chaining computations in monads,Styling computations,Compressing computations,Sorting computations,Chaining computations in monads,,,,,,
code linting,What is code linting?,Checking code for errors and style,Styling code,Compressing code,Sorting code,Checking code for errors and style,,,,,,
concurrent hashmap,What is a ConcurrentHashMap in Java?,Thread-safe hash map,Styled map,Compressed map,Sorted map,Thread-safe hash map,,,,,,
protocol (typing),What is the Protocol in Python typing?,Defines structural subtyping,Styles types,Compresses types,Sorts types,Defines structural subtyping,,,,,,
code splitting,What is code splitting?,Breaking code into smaller bundles,Styling code,Compressing code,Sorting code,Breaking code into smaller bundles,,,,,,
gil,What is the GIL in Python?,Global Interpreter Lock,Styled lock,Compressed lock,Sorted lock,Global Interpreter Lock,,,,,,
fork/join framework,What is the Fork/Join framework in Java?,Parallel task processing,Styled tasks,Compressed tasks,Sorted tasks,Parallel task processing,,,,,,
monte carlo method,What is the Monte Carlo method?,Uses random sampling for results,Sorts data,Compresses data,Styles data,Uses random sampling for results,,,,,,
virtual dom,What is the Virtual DOM?,In-memory representation of the DOM,Styled DOM,Compressed DOM,Sorted DOM,In-memory representation of the DOM,,,,,,
tag dispatch,What is tag dispatch in C++?,Selects function overloads via tags,Styles functions,Compresses functions,Sorts functions,Selects function overloads via tags,,,,,,
behavioral pattern,What is a behavioral design pattern?,Defines object communication,Creates objects,Styles objects,Compresses objects,Defines object communication,,,,,,
suffix array,What is a suffix array?,Array of string suffixes,Styled array,Compressed array,Sorted array,Array of string suffixes,,,,,,
data transformation,What is data transformation?,Converting data to a new format,Styling data,Compressing data,Sorting data,Converting data to a new format,,,,,,
api gateway,What is an API gateway?,Manages API requests,Styles APIs,Compresses APIs,Sorts APIs,Manages API requests,,,,,,
code scalability,What is code scalability?,Ability to handle increased load,Styling code,Compressing code,Sorting code,Ability to handle increased load,,,,,,
creational pattern,What is a creational design pattern?,Manages object creation,Defines behavior,Styles objects,Compresses objects,Manages object creation,,,,,,
game theory algorithm,What is a game theory algorithm?,Optimizes decisions in competitive scenarios,Sorts games,Compresses games,Styles games,Optimizes decisions in competitive scenarios,,,,,,
data normalization,What is data normalization in machine learning?,Scaling data to a standard range,Styling data,Compressing data,Sorting data,Scaling data to a standard range,,,,,,
content delivery network,What is a Content Delivery Network (CDN)?,Distributes content globally,Styles content,Compresses content,Sorts content,Distributes content globally,,,,,,
code reusability,What is code reusability?,Writing code that can be used multiple times,Styling code,Compressing code,Sorting code,Writing code that can be used multiple times,,,,,,
parallel algorithm,What is a parallel algorithm?,Executes tasks simultaneously,Executes tasks sequentially,Styles tasks,Compresses tasks,Executes tasks simultaneously,,,,,,
data anonymization,What is data anonymization?,Removing identifiable information,Styling data,Compressing data,Sorting data,Removing identifiable information,,,,,,
external sorting,What is external sorting?,Sorting large datasets using external memory,Sorting in memory,Styling data,Compressing data,Sorting large datasets using external memory,,,,,,
data compression,What is data compression?,Reducing data size,Increasing data size,Styling data,Sorting data,Reducing data size,,,,,,
code versioning,What is code versioning?,Tracking changes in code over time,Styling code,Compressing code,Sorting code,Tracking changes in code over time,,,,,,
stream processing,What is stream processing?,Processing data in real-time streams,Batch processing,Styling data,Compressing data,Processing data in real-time streams,,,,,,
approximate string matching,What is approximate string matching?,Finding strings with small differences,Exact string matching,Styling strings,Compressing strings,Finding strings with small differences,,,,,,
data visualization,What is data visualization?,Representing data graphically,Styling data,Compressing data,Sorting data,Representing data graphically,,,,,,
code review,What is code review?,Evaluating code for quality,Styling code,Compressing code,Sorting code,Evaluating code for quality,,,,,,
online algorithm,What is an online algorithm?,Processes data as it arrives,Processes all data at once,Styles data,Compresses data,Processes data as it arrives,,,,,,
data cleaning,What is data cleaning?,Removing errors from data,Styling data,Compressing data,Sorting data,Removing errors from data,,,,,,
webhooks,What are webhooks?,Event-driven HTTP callbacks,Styled callbacks,Compressed callbacks,Sorted callbacks,Event-driven HTTP callbacks,,,,,,
code automation,What is code automation?,Automating repetitive coding tasks,Styling code,Compressing code,Sorting code,Automating repetitive coding tasks,,,,,,
cache-oblivious algorithm,What is a cache-oblivious algorithm?,Optimizes for unknown cache sizes,Optimizes for known caches,Styles caches,Compresses caches,Optimizes for unknown cache sizes,,,,,,
data integration,What is data integration?,Combining data from multiple sources,Styling data,Compressing data,Sorting data,Combining data from multiple sources,,,,,,
single page application,What is a Single Page Application (SPA)?,A web app with dynamic content loading,Multi-page app,Styled app,Compressed app,A web app with dynamic content loading,,,,,,
memento pattern,What is the Memento pattern?,Saves and restores object state,Styles objects,Compresses objects,Sorts objects,Saves and restores object state,,,,,,
code deployment,What is code deployment?,Releasing code to production,Styling code,Compressing code,Sorting code,Releasing code to production,,,,,,
geometric algorithm,What is a geometric algorithm?,Solves problems in computational geometry,Sorts geometric data,Styles geometry,Compresses geometry,Solves problems in computational geometry,,,,,,
data pipeline,What is a data pipeline?,Automated flow of data processing,Styled data flow,Compressed data flow,Sorted data flow,Automated flow of data processing,,,,,,
code monitoring,What is code monitoring?,Tracking application performance,Styling code,Compressing code,Sorting code,Tracking application performance,,,,,,
probabilistic algorithm,What is a probabilistic algorithm?,Uses randomness for efficiency,Uses deterministic steps,Styles algorithms,Compresses algorithms,Uses randomness for efficiency,,,,,,
data governance,What is data governance?,Managing data policies and standards,Styling data,Compressing data,Sorting data,Managing data policies and standards,,,,,,
code collaboration,What is code collaboration?,Multiple developers working on code,Styling code,Compressing code,Sorting code,Multiple developers working on code,,,,,,
spatial data structure,What is a spatial data structure?,Organizes spatial data,Styles spatial data,Compresses spatial data,Sorts spatial data,Organizes spatial data,,,,,,
data auditing,,,,,,,,,,,,
variables,What is the primary purpose of variables in programming?,To store and manipulate data,To create loops,To define functions,To handle errors,To store and manipulate data,,,,,,
variables,Which of these is NOT a valid variable naming convention?,camelCase,PascalCase,kebab-case,snake_case,kebab-case,,,,,,
variables,What is variable scope in programming?,The data type of a variable,The region where a variable can be accessed,The value stored in a variable,The memory address of a variable,The region where a variable can be accessed,,,,,,
variables,What is the difference between 'let' and 'var' in JavaScript?,let has function scope, var has block scope,let has block scope, var has function scope,There is no difference,let is only for numbers,let has block scope, var has function scope,,,
variables,What is a constant variable?,A variable that can't be reassigned,A variable that changes frequently,A special type of loop,A function parameter,A variable that can't be reassigned,,,,,,
data types,Which of these is a primitive data type in most languages?,Array,Object,String,Class,String,,,,,,
data types,What is the main difference between float and double?,float has higher precision,double has higher precision,float is for integers,double is only for positive numbers,double has higher precision,,,,,,
data types,What is the size of a boolean in Java?,1 bit,1 byte,4 bytes,8 bytes,1 bit,,,,,,
data types,Which data type would be best for storing a person's age?,String,Integer,Boolean,Float,Integer,,,,,,
data types,What is type inference in programming?,Manually declaring variable types,Automatically determining variable types,Converting between types,Casting variables,Automatically determining variable types,,,,,,
constants,What is the purpose of constants in programming?,To store values that change frequently,To store values that shouldn't change,To create loops,To handle errors,To store values that shouldn't change,,,,,,
constants,How are constants typically declared in C++?,using the 'var' keyword,using the 'let' keyword,using the 'const' keyword,using the 'static' keyword,using the 'const' keyword,,,,,,
constants,What is a benefit of using constants?,They improve performance,They make code more maintainable and readable,They reduce memory usage,They make variables mutable,They make code more maintainable and readable,,,,,,
constants,Which of these is a valid constant naming convention?,CONSTANT_CASE,camelCase,PascalCase,snake_case,CONSTANT_CASE,,,,,,
constants,What happens if you try to modify a constant after declaration?,The value changes silently,A runtime error occurs,Nothing happens,The program compiles but won't run,A runtime error occurs,,,,,,
operators,What is the result of 5 + '5' in JavaScript?,'10',10,'55',Error,'55',,,,,,
operators,Which operator has the highest precedence?,+,*,(),-,(),,,,,,
operators,What does the ternary operator do?,Performs arithmetic,Returns one of two values based on a condition,Creates loops,Handles exceptions,Returns one of two values based on a condition,,,,,,
operators,What is the difference between == and === in JavaScript?,== compares value, === compares value and type,== compares type, === compares value,No difference,== is deprecated,== compares value, === compares value and type,,,
operators,What does the modulus operator (%) do?,Performs division,Returns the remainder of division,Raises to a power,Performs multiplication,Returns the remainder of division,,,,,,
arithmetic operations,What is the result of 7 / 2 in integer division?,3.5,3,4,3,3,,,,,,
arithmetic operations,What is operator precedence?,The order in which operators are evaluated,The speed of operations,The memory usage of operations,The type of operations,The order in which operators are evaluated,,,,,,
arithmetic operations,Which operation is performed first in 3 + 5 * 2?,Addition,Multiplication,Exponentiation,Modulus,Multiplication,,,,,,
arithmetic operations,What is the result of Math.pow(2, 3)?,6,8,9,5,8,,,,,
arithmetic operations,What does the increment operator (++) do?,Adds 1 to a variable,Subtracts 1 from a variable,Doubles a variable,Squares a variable,Adds 1 to a variable,,,,,,
logical operators,What is the result of true && false?,TRUE,FALSE,undefined,null,FALSE,,,,,,
logical operators,Which operator represents logical OR?,&&,||,!,??,||,,,,,,
logical operators,What is short-circuit evaluation in logical operators?,Evaluating both operands always,Stopping evaluation when the result is determined,Converting operands to strings,Reversing the operands,Stopping evaluation when the result is determined,,,,,,
logical operators,What does the logical NOT operator (!) do?,Inverts a boolean value,Performs addition,Creates a new variable,Handles exceptions,Inverts a boolean value,,,,,,
logical operators,What is the result of !(true || false)?,TRUE,FALSE,undefined,null,FALSE,,,,,,
relational operators,What does the '>' operator check?,If left value is greater than right,If values are equal,If left value is less than right,If values are different,If left value is greater than right,,,,,,
relational operators,What is the result of 5 >= 5?,TRUE,FALSE,0,1,TRUE,,,,,,
relational operators,Which operator checks for inequality?,!=,==,>=,<=,!=,,,,,,
relational operators,What is the difference between = and ==?,#NAME?, == is comparison,#NAME?, == is assignment,They are identical,#NAME?,#NAME?, == is comparison,,,
relational operators,What does the '===' operator do in JavaScript?,Compares value only,Compares value and type,Assigns a value,Checks for null,Compares value and type,,,,,,
bitwise operators,What does the bitwise AND (&) operator do?,Performs logical AND,Performs AND on each bit,Adds two numbers,Multiplies two numbers,Performs AND on each bit,,,,,,
bitwise operators,What is the result of 5 | 3?,7,1,15,8,7,,,,,,
bitwise operators,What does the left shift operator (<<) do?,Divides by 2,Multiplies by 2,Subtracts 1,Adds 1,Multiplies by 2,,,,,,
bitwise operators,Which operator flips all bits?,~,&,|,^,~,,,,,,
bitwise operators,What is XOR (^) operation result for 5 ^ 3?,6,1,7,8,6,,,,,,
assignment operators,What does the += operator do?,Adds and assigns,Subtracts and assigns,Multiplies and assigns,Divides and assigns,Adds and assigns,,,,,,
assignment operators,What is equivalent to x *= y?,x = x * y,x = x + y,x = x - y,x = x / y,x = x * y,,,,,,
assignment operators,Which operator increments then assigns?,=+,+=,++,None of these,None of these,,,,,,
assignment operators,What does the %= operator do?,Divides and assigns remainder,Multiplies and assigns,Adds and assigns,Subtracts and assigns,Divides and assigns remainder,,,,,,
assignment operators,What is the result of x = 5 after x += 3?,5,3,8,2,8,,,,,,
type casting,What is implicit type conversion?,Manual type change,Automatic type conversion by compiler,Type checking,Memory allocation,Automatic type conversion by compiler,,,,,,
type casting,What is the term for (int)5.5 in C++?,Implicit cast,Explicit cast,Type inference,Type checking,Explicit cast,,,,,,
type casting,What happens in Java when casting a double to int?,Decimal part is preserved,Decimal part is truncated,Compilation error,Runtime error,Decimal part is truncated,,,,,,
type casting,Which method converts string to integer in Python?,str(),int(),float(),bool(),int(),,,,,,
type casting,What is type coercion?,Manual type conversion,Automatic type conversion in expressions,Type checking,Memory management,Automatic type conversion in expressions,,,,,,
control structures,What is a control structure in programming?,Data storage mechanism,Code that directs program flow,Memory allocation tool,Error handling block,Code that directs program flow,,,,,,
control structures,Which is NOT a control structure?,if statement,for loop,Variable declaration,while loop,Variable declaration,,,,,,
control structures,What is the purpose of control structures?,To store data,To manage program execution flow,To allocate memory,To handle errors,To manage program execution flow,,,,,,
control structures,Which category does 'if-else' belong to?,Loop structure,Selection structure,Jump structure,Exception structure,Selection structure,,,,,,
control structures,What is the difference between control structures and functions?,Both are identical,Control structures direct flow, functions group code,Control structures store data, functions execute code,Control structures direct flow, functions group code,,,,
conditional statements,What is the purpose of 'if' statements?,To create loops,To make decisions in code,To define functions,To handle errors,To make decisions in code,,,,,,
