Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
heap,What is a heap in data structures?,A tree-based structure satisfying the heap property,A linear list,A sorted array,A graph structure,A tree-based structure satisfying the heap property,Used for priority queues.
heap,What property defines a max-heap?,Parent > children,Parent < children,Random order,Circular links,Parent > children,Root is the maximum element.
heap,What is the time complexity of heap insertion?,O(1),O(log n),O(n),O(n^2),O(log n),Due to heapify operation.
heap,What is a use case for heaps?,Linear search,Priority queue implementation,Sorting arrays,Graph traversal,Priority queue implementation,Scheduling tasks.
heap,What is the height of a heap with n nodes?,O(1),O(log n),O(n),O(n^2),O(log n),Logarithmic due to binary tree structure.
string formatting,What is string formatting in programming?,Sorting strings,Creating formatted strings with variables,Filtering strings,Compressing strings,Creating formatted strings with variables,Improves readability.
string formatting,What method is used in Python 3.6+ for string formatting?,f-strings,format(),% operator,join(),f-strings,Most readable method.
string formatting,What is a use case for string formatting?,Random access,Logging messages,Filtering data,Sorting data,Logging messages,Creates readable output.
string formatting,What is a benefit of string formatting?,Increased complexity,Readability,More memory usage,Slower execution,Readability,Enhances user output.
string formatting,What is a limitation of string formatting?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Can be slow for large strings.
friend function,What is a friend function in C++?,A function that accesses private members of a class,A loop function,A data type,A sorting function,A function that accesses private members of a class,Breaks encapsulation.
friend function,What keyword declares a friend function?,friend,private,public,static,friend,Grants access rights.
friend function,What is a use case for friend functions?,Random access,Operator overloading,Filtering data,Sorting data,Operator overloading,Accesses private data.
friend function,What is a benefit of friend functions?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Simplifies certain operations.
friend function,What is a limitation of friend functions?,Improved performance,Breaks encapsulation,Low memory usage,Fast execution,Breaks encapsulation,May lead to misuse.
overloaded constructor,What is an overloaded constructor in OOP?,A constructor with multiple parameter lists,A single constructor,A loop constructor,A data type,A constructor with multiple parameter lists,Enhances flexibility.
overloaded constructor,What is a benefit of overloaded constructors?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Supports multiple initialization.
overloaded constructor,What is a use case for overloaded constructors?,Random access,Object initialization,Filtering data,Sorting data,Object initialization,Adapts to needs.
overloaded constructor,What is a requirement for overloaded constructors?,Same parameters,Different parameter lists,Same return type,Private access,Different parameter lists,Distinguishes constructors.
overloaded constructor,What is a limitation of overloaded constructors?,Improved performance,Potential confusion,Low memory usage,Fast execution,Potential confusion,Requires careful design.
hash table,What is a hash table in data structures?,A sorted list,A data structure using key-value pairs with hashing,A tree structure,A graph structure,A data structure using key-value pairs with hashing,Fast lookups.
hash table,What is a key feature of hash tables?,Fixed size,Fast lookups,Unordered elements,Slow access,Fast lookups,Uses hashing.
hash table,What is a use case for hash tables?,Random access,Data indexing,Filtering data,Sorting data,Data indexing,Enables O(1) lookups.
hash table,What is the time complexity of average-case lookup?,O(n),O(1),O(log n),O(n^2),O(1),Assuming good hash function.
hash table,What is a limitation of hash tables?,Fast access,Collision handling,Low memory usage,Simple design,Collision handling,Requires resolution strategies.
spread operator,What is the spread operator in JavaScript?,A loop operator,An operator to expand elements (...),A data type,A sorting operator,An operator to expand elements (...),Introduced in ES6.
spread operator,What is a use case for the spread operator?,Random access,Array copying,Filtering data,Sorting data,Array copying,Creates shallow copies.
spread operator,What is a benefit of the spread operator?,Increased complexity,Conciseness,More memory usage,Slower execution,Conciseness,Simplifies syntax.
spread operator,What is a limitation of the spread operator?,Improved performance,Shallow copying,Low memory usage,Fast execution,Shallow copying,Does not copy nested objects.
spread operator,What can the spread operator be used with?,Arrays only,Objects only,Arrays and objects,Functions only,Arrays and objects,Versatile usage.
multithreading,What is multithreading?,Running multiple threads in a single process,Running multiple processes,Styling threads,Compressing threads,Running multiple threads in a single process,Shares memory.
multithreading,What is a use case for multithreading?,UI design,Concurrent tasks,Data compression,Encryption,Concurrent tasks,Responsive apps.
multithreading,What is a benefit of multithreading?,High complexity,Responsiveness,More memory usage,Longer execution,Responsiveness,Handles I/O.
multithreading,What is a challenge of multithreading?,Performance,Deadlocks,Simple design,Low memory,Deadlocks,Requires synchronization.
multithreading,What is a tool for multithreading?,Pthreads,HTML,CSS,JavaScript,Pthreads,Thread management.
avl tree,What is an AVL tree?,A self-balancing binary search tree,A linear list,A sorted array,A graph structure,A self-balancing binary search tree,Maintains height balance.
avl tree,What is the balance factor in an AVL tree?,Height difference of subtrees,Number of nodes,Depth of tree,Number of leaves,Height difference of subtrees,Ensures O(log n) operations.
avl tree,What is a use case for AVL trees?,Random access,Database indexing,Filtering data,Sorting data,Database indexing,Ensures balanced operations.
avl tree,What is the time complexity of insertion in an AVL tree?,O(n),O(log n),O(n^2),O(1),O(log n),Due to balancing.
avl tree,What is a limitation of AVL trees?,Fast access,Complex rotations,Low memory usage,Simple design,Complex rotations,Requires maintenance.
deque,What is a deque?,A double-ended queue allowing insertion/deletion at both ends,A single-ended queue,A fixed-size array,A tree-based structure,A double-ended queue allowing insertion/deletion at both ends,Combines stack and queue.
deque,What operation is efficient at both ends of a deque?,Random access,Push and pop,Sorting,Filtering,Push and pop,Optimized for O(1) operations.
deque,What is a use case for a deque?,Fixed-size storage,Sliding window problems,Graph traversal,Matrix operations,Sliding window problems,Useful in algorithms.
deque,How does a deque differ from a queue?,Allows operations at one end only,Allows operations at both ends,Fixed size,Unordered,Allows operations at both ends,More versatile than a queue.
deque,What is the time complexity for deque access?,O(1),O(n),O(log n),O(n^2),O(1),Assuming array or linked list implementation.
tree,What is a tree in data structures?,A hierarchical structure with nodes connected by edges,A linear array,A key-value pair,A flat list,A hierarchical structure with nodes connected by edges,Root node has no parent.
tree,What is the maximum number of children in a binary tree?,Any number,Two,Three,Four,Two,Defines the binary property.
tree,What is a use case for trees?,Linear search,File system organization,Sorting arrays,Hashing,File system organization,Hierarchical data storage.
tree,What is the height of a tree?,Number of nodes,Longest path from root to leaf,Number of edges,Number of levels,Longest path from root to leaf,Impacts search efficiency.
tree,What happens if a tree has a cycle?,It becomes a graph,It remains a tree,It has no root,It is invalid,It becomes a graph,Breaks the tree definition.
zip function,What does the zip function do in Python?,Sorts lists,Combines multiple iterables into tuples,Filters lists,Compresses lists,Combines multiple iterables into tuples,Iterates in parallel.
zip function,What is a use case for the zip function?,Random access,Pairing data,Filtering data,Sorting data,Pairing data,Aligns related lists.
zip function,What is a benefit of the zip function?,Increased complexity,Conciseness,More memory usage,Slower execution,Conciseness,Simplifies iteration.
zip function,What is a limitation of the zip function?,Improved performance,Shortest iterable length,Low memory usage,Fast execution,Shortest iterable length,Stops at shortest.
zip function,What type does zip return?,List,Tuple,Iterator,Dictionary,Iterator,Requires conversion to list/tuple.
trie,What is a trie in data structures?,A tree for storing strings with shared prefixes,A binary search tree,A sorted list,A hash table,A tree for storing strings with shared prefixes,Efficient for prefix searches.
trie,What is a key feature of a trie?,Fixed size,Prefix sharing,Random access,Unordered nodes,Prefix sharing,Reduces memory for common prefixes.
trie,What is a use case for tries?,Sorting arrays,Autocomplete suggestions,Graph traversal,Queue management,Autocomplete suggestions,Used in spell checkers.
trie,What is the space complexity of a trie?,O(1),O(AL),O(n),O(n^2),O(AL),A is alphabet size, L is string length.
trie,What is a disadvantage of tries?,Fast random access,Memory overhead for sparse data,Fixed size,Low efficiency,Memory overhead for sparse data,Requires more space.
lambda expression,What is a lambda expression in programming?,A named function,An anonymous function defined inline,A loop structure,A data type,An anonymous function defined inline,Same as lambda function.
lambda expression,What keyword defines a lambda expression in Python?,lambda,def,func,function,lambda,Creates small functions.
lambda expression,What is a use case for lambda expressions?,Fixed data,Sorting with custom keys,Random access,Filtering data,Sorting with custom keys,Used with map/filter.
lambda expression,What is a benefit of lambda expressions?,Increased complexity,Conciseness,More memory usage,Slower execution,Conciseness,Reduces boilerplate code.
lambda expression,What is a limitation of lambda expressions?,Improved performance,Limited complexity,Low memory usage,Fast execution,Limited complexity,Best for simple operations.
binary search,What is binary search?,A linear search algorithm,An algorithm that searches sorted data by halving the range,A tree search algorithm,A graph search algorithm,An algorithm that searches sorted data by halving the range,Requires sorted input.
binary search,What is the time complexity of binary search?,O(n),O(log n),O(n^2),O(1),O(log n),Efficient for large datasets.
binary search,What is a prerequisite for binary search?,Unsorted data,Sorted data,Random data,Duplicate data,Sorted data,Ensures correct halving.
binary search,What is a use case for binary search?,Random access,Finding elements,Filtering data,Sorting data,Finding elements,Fast search in sorted arrays.
binary search,What is a limitation of binary search?,Fast access,Requires sorted data,Low memory usage,Simple design,Requires sorted data,Preprocessing needed.
dataframe,What is a DataFrame in programming?,A sorted list,A tabular data structure in pandas,A tree structure,A graph structure,A tabular data structure in pandas,Similar to a spreadsheet.
dataframe,What library provides DataFrame in Python?,pandas,numpy,matplotlib,sklearn,pandas,Core data structure.
dataframe,What is a use case for DataFrames?,Random access,Data analysis,Filtering data,Sorting data,Data analysis,Handles large datasets.
dataframe,What is a common operation on a DataFrame?,Random access,Filtering rows,Sorting data,Compressing data,Filtering rows,Uses conditions.
dataframe,What is a limitation of DataFrames?,Fast access,Memory overhead,Low memory usage,Simple design,Memory overhead,Large datasets require memory.
annotation,What is an annotation in programming?,A loop structure,Metadata added to code for additional information,A data type,A sorting algorithm,Metadata added to code for additional information,Enhances code information.
annotation,What symbol defines an annotation in Java?,@,*,&,%,@,Precedes the annotation name.
annotation,What is a use case for annotations?,Random access,Framework configuration,Filtering data,Sorting data,Framework configuration,Used in Spring.
annotation,What is a benefit of annotations?,Increased complexity,Improved readability,More memory usage,Slower execution,Improved readability,Clarifies intent.
annotation,What is a limitation of annotations?,Improved performance,Dependency on framework,Low memory usage,Fast execution,Dependency on framework,Requires support.
unit testing,What is unit testing?,Testing individual components of code,Testing the entire application,Styling code,Encrypting code,Testing individual components of code,Verifies small units.
unit testing,What framework is common for unit testing?,JUnit,HTML,CSS,JavaScript,JUnit,Java testing tool.
unit testing,What is a use case for unit testing?,Data compression,Bug detection,Sorting,Encryption,Bug detection,Ensures functionality.
unit testing,What is a benefit of unit testing?,High complexity,Reliability,More memory usage,Longer execution,Reliability,Reduces defects.
unit testing,What is a challenge of unit testing?,Performance,Test coverage,Simple design,Low memory,Test coverage,Requires thorough design.
type inference,What is type inference in programming?,Explicit type declaration,Compiler determining variable types automatically,A loop structure,A data type,Compiler determining variable types automatically,Reduces boilerplate.
type inference,What language uses type inference?,Scala,SQL,HTML,CSS,Scala,Enhances readability.
type inference,What is a benefit of type inference?,Increased complexity,Reduced code verbosity,More memory usage,Slower execution,Reduced code verbosity,Simplifies declarations.
type inference,What is a use case for type inference?,Random access,Variable declarations,Filtering data,Sorting data,Variable declarations,Automatic typing.
type inference,What is a limitation of type inference?,Improved performance,Potential ambiguity,Low memory usage,Fast execution,Potential ambiguity,May confuse developers.
numpy array,What is a NumPy array in Python?,A sorted list,An efficient array for numerical operations,A tree structure,A graph structure,An efficient array for numerical operations,Faster than lists.
numpy array,What library provides NumPy arrays?,pandas,numpy,matplotlib,sklearn,numpy,Core numerical library.
numpy array,What is a use case for NumPy arrays?,Random access,Scientific computing,Filtering data,Sorting data,Scientific computing,Handles large datasets.
numpy array,What is a benefit of NumPy arrays?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Optimized for math.
numpy array,What is a limitation of NumPy arrays?,Fast access,Memory overhead,Low memory usage,Simple design,Memory overhead,Large arrays require memory.
garbage collection,What is garbage collection in programming?,Manual memory allocation,Automatic memory deallocation,Sorting memory,Filtering memory,Automatic memory deallocation,Frees unused memory.
garbage collection,What language uses garbage collection?,Java,SQL,HTML,CSS,Java,Manages memory automatically.
garbage collection,What is a benefit of garbage collection?,Increased complexity,Reduced memory leaks,More memory usage,Slower execution,Reduced memory leaks,Improves safety.
garbage collection,What is a use case for garbage collection?,Random access,Memory management,Filtering data,Sorting data,Memory management,Ensures efficiency.
garbage collection,What is a limitation of garbage collection?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Stop-the-world pauses.
sorting,What is sorting in programming?,Randomizing data,Arranging data in a specific order,Filtering data,Compressing data,Arranging data in a specific order,Improves search efficiency.
sorting,What is a common sorting algorithm?,Quicksort,Linear search,Binary search,Depth-first search,Quicksort,Efficient for general use.
sorting,What is the time complexity of bubble sort?,O(n),O(n^2),O(log n),O(1),O(n^2),Inefficient for large datasets.
sorting,What is a use case for sorting?,Random access,Data presentation,Filtering data,Compressing data,Data presentation,Improves readability.
sorting,What is a limitation of sorting?,Fast access,Computational cost,Low memory usage,Simple design,Computational cost,Depends on algorithm.
api,What is an API?,A set of rules for interacting with software components,A sorting algorithm,A compression technique,An encryption method,A set of rules for interacting with software components,Enables integration.
api,What is a REST API?,Graph API,HTTP-based interface,SOAP API,JSON API,HTTP-based interface,Stateless communication.
api,What is a use case for APIs?,Data compression,Service integration,Sorting,Encryption,Service integration,Connects applications.
api,What is a benefit of APIs?,High complexity,Interoperability,More memory usage,Longer execution,Interoperability,Standardized access.
api,What is a risk of APIs?,Data security,Improved performance,Simple design,Low cost,Data security,Exposes endpoints.
disjoint set,What is a disjoint set in data structures?,A collection of non-overlapping sets,A sorted list,A tree structure,A hash table,A collection of non-overlapping sets,Used for union-find.
disjoint set,What operation is common in a disjoint set?,Find,Push,Pop,Sort,Find,Locates set of an element.
disjoint set,What is a use case for disjoint sets?,Random access,Graph connectivity,Filtering data,Sorting data,Graph connectivity,Used in Kruskal's algorithm.
disjoint set,What is the time complexity of union-find with path compression?,O(n),O(1) amortized,O(log n),O(n^2),O(1) amortized,Highly efficient.
disjoint set,What is a limitation of disjoint sets?,Fast access,Limited operations,Low memory usage,Simple design,Limited operations,Specialized use case.
enum,What is an enum in programming?,A loop structure,A type defining a set of named values,A data type,A sorting algorithm,A type defining a set of named values,Improves readability.
enum,What keyword defines an enum in Java?,enum,class,struct,interface,enum,Defines constants.
enum,What is a use case for enums?,Random access,State representation,Filtering data,Sorting data,State representation,Manages fixed values.
enum,What is a benefit of enums?,Increased complexity,Type safety,More memory usage,Slower execution,Type safety,Prevents invalid values.
enum,What is a limitation of enums?,Improved performance,Fixed set of values,Low memory usage,Fast execution,Fixed set of values,Cannot add dynamically.
kruskal's,What is Kruskal's algorithm used for?,Finding a minimum spanning tree,Finding the shortest path,Sorting a graph,Compressing a graph,Finding a minimum spanning tree,Optimizes network connectivity.
kruskal's,What is the time complexity of Kruskal's with a good disjoint set?,O(V^2),O(E log E),O(E log V),O(n^3),O(E log E),E is edges, V is vertices.
kruskal's,What data structure is used in Kruskal's?,Heap,Disjoint set,Queue,Array,Disjoint set,Manages connected components.
kruskal's,What is a prerequisite for Kruskal's?,Directed graph,Undirected graph,Weighted graph,Cyclic graph,Weighted graph,Requires edge weights.
kruskal's,What is a use case for Kruskal's?,Path finding,Network design,Sorting,Data compression,Network design,Minimizes cost in infrastructure.
metaclass,What is a metaclass in Python?,A class of a class that defines class behavior,A loop structure,A data type,A sorting algorithm,A class of a class that defines class behavior,Controls class creation.
metaclass,What keyword specifies a metaclass in Python?,metaclass,class,struct,enum,metaclass,Used in class definition.
metaclass,What is a use case for metaclasses?,Random access,Customizing classes,Filtering data,Sorting data,Customizing classes,Adds behavior to classes.
metaclass,What is a benefit of metaclasses?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Powerful customization.
metaclass,What is a limitation of metaclasses?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Hard to debug.
fenwick tree,What is a Fenwick tree?,A data structure for cumulative frequency tables,A sorted list,A tree structure,A hash table,A data structure for cumulative frequency tables,Also called binary indexed tree.
fenwick tree,What operation is efficient in a Fenwick tree?,Range sum queries,Random access,Sorting,Filtering,Range sum queries,O(log n) updates.
fenwick tree,What is a use case for Fenwick trees?,Random access,Dynamic range queries,Filtering data,Sorting data,Dynamic range queries,Used in competitive programming.
fenwick tree,What is the time complexity of an update in a Fenwick tree?,O(n),O(log n),O(n^2),O(1),O(log n),Efficient updates.
fenwick tree,What is a limitation of Fenwick trees?,Fast access,Specialized use,Low memory usage,Simple design,Specialized use,Limited to specific problems.
class method,What is a class method in Python?,A method bound to the class, not the instance,A loop method,A data type,A sorting method,A method bound to the class, not the instance,Accesses class attributes.
class method,What decorator defines a class method in Python?,@classmethod,@staticmethod,@instancemethod,@property,@classmethod,Standard decorator.
class method,What is a use case for class methods?,Random access,Factory methods,Filtering data,Sorting data,Factory methods,Creates alternative constructors.
class method,What is a benefit of class methods?,Increased complexity,Class-level access,More memory usage,Slower execution,Class-level access,Manages class state.
class method,What is a limitation of class methods?,Improved performance,Cannot access instance data,Low memory usage,Fast execution,Cannot access instance data,Class scope only.
huffman coding,What is Huffman coding?,A sorting algorithm,A compression algorithm using a tree,A search algorithm,A graph algorithm,A compression algorithm using a tree,Optimal prefix codes.
huffman coding,What data structure is used in Huffman coding?,Heap,Array,Stack,Queue,Heap,Builds the tree efficiently.
huffman coding,What is a use case for Huffman coding?,Random access,Data compression,Filtering data,Sorting data,Data compression,Reduces file size.
huffman coding,What is the time complexity of Huffman coding?,O(n),O(n log n),O(n^2),O(1),O(n log n),Due to heap operations.
huffman coding,What is a limitation of Huffman coding?,Fast access,Requires frequency table,Low memory usage,Simple design,Requires frequency table,Preprocessing needed.
multiprocessing,What is multiprocessing in programming?,Running multiple threads,Running multiple processes,Styling processes,Compressing processes,Running multiple processes,Independent memory spaces.
multiprocessing,What module provides multiprocessing in Python?,multiprocessing,threading,asyncio,concurrent,multiprocessing,Standard library module.
multiprocessing,What is a use case for multiprocessing?,UI design,CPU-bound tasks,Data compression,Encryption,CPU-bound tasks,Leverages multiple cores.
multiprocessing,What is a benefit of multiprocessing?,High complexity,Parallelism,More memory usage,Longer execution,Parallelism,Improves performance.
multiprocessing,What is a challenge of multiprocessing?,Performance,Inter-process communication,Simple design,Low memory,Inter-process communication,Requires synchronization.
reflection,What is reflection in programming?,Sorting code,Examining and modifying code at runtime,Filtering code,Compressing code,Examining and modifying code at runtime,Introspection capability.
reflection,What language supports reflection?,Java,SQL,HTML,CSS,Java,Uses java.lang.reflect.
reflection,What is a use case for reflection?,Random access,Dynamic code,Filtering data,Sorting data,Dynamic code,Used in frameworks.
reflection,What is a benefit of reflection?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Runtime adaptability.
reflection,What is a limitation of reflection?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Reflection is slow.
bellman ford,What is the Bellman-Ford algorithm used for?,Finding a minimum spanning tree,Finding shortest paths with negative weights,Sorting a graph,Compressing a graph,Finding shortest paths with negative weights,Handles negative edges.
bellman ford,What is the time complexity of Bellman-Ford?,O(V^2),O(VE),O(E log V),O(n^3),O(VE),V is vertices, E is edges.
bellman ford,What is a use case for Bellman-Ford?,Random access,Network routing,Filtering data,Sorting data,Network routing,Handles negative cycles.
bellman ford,What is a limitation of Bellman-Ford?,Fast execution,High time complexity,Low memory usage,Simple design,High time complexity,Less efficient than Dijkstra's.
bellman ford,What does Bellman-Ford detect?,Shortest path,Negative cycles,Minimum spanning tree,Graph connectivity,Negative cycles,Stops if detected.
hash function,What is the role of a hash function?,Maps data to a fixed-size value,Sorts data in ascending order,Encrypts data,Compresses files,Maps data to a fixed-size value,Minimizes collisions.
hash function,What is a desirable property of a hash function?,High collision rate,Uniform distribution,Fixed output length,Random output,Uniform distribution,Reduces clustering.
hash function,What happens with many collisions?,Improved performance,Degraded performance,Constant time access,Reduced memory,Degraded performance,Requires collision resolution.
hash function,What is a common use case for hash functions?,Sorting,Hash table indexing,Graph traversal,Queue management,Hash table indexing,Enables fast lookups.
hash function,What is the output of a cryptographic hash function?,Variable length,Fixed length,Random length,Unpredictable length,Fixed length,Ensures data integrity.
segment tree,What is a segment tree?,A tree for range queries and updates,A sorted list,A tree structure,A hash table,A tree for range queries and updates,Used in competitive programming.
segment tree,What operation is efficient in a segment tree?,Range sum queries,Random access,Sorting,Filtering,Range sum queries,O(log n) queries.
segment tree,What is a use case for segment trees?,Random access,Dynamic range queries,Filtering data,Sorting data,Dynamic range queries,Efficient updates.
segment tree,What is the time complexity of an update in a segment tree?,O(n),O(log n),O(n^2),O(1),O(log n),Efficient updates.
segment tree,What is a limitation of segment trees?,Fast access,Complex implementation,Low memory usage,Simple design,Complex implementation,Requires careful coding.
floyd warshall,What is the Floyd-Warshall algorithm used for?,Finding a minimum spanning tree,Finding all-pairs shortest paths,Sorting a graph,Compressing a graph,Finding all-pairs shortest paths,Handles all pairs.
floyd warshall,What is the time complexity of Floyd-Warshall?,O(V^2),O(V^3),O(E log V),O(n^3),O(V^3),V is vertices.
floyd warshall,What is a use case for Floyd-Warshall?,Random access,Network analysis,Filtering data,Sorting data,Network analysis,Computes all shortest paths.
floyd warshall,What is a limitation of Floyd-Warshall?,Fast execution,High time complexity,Low memory usage,Simple design,High time complexity,Not suited for large graphs.
floyd warshall,What does Floyd-Warshall handle?,Negative cycles,Shortest path,Minimum spanning tree,Graph connectivity,Negative cycles,Detects them.
lru cache,What does LRU Cache stand for?,Least Recently Used Cache,Last Recently Used Cache,Least Randomly Used Cache,Last Randomly Used Cache,Least Recently Used Cache,Efficient caching mechanism.
lru cache,What data structures are used in an LRU Cache?,Hash map and doubly linked list,Array and stack,Queue and tree,Heap and graph,Hash map and doubly linked list,Fast access and ordering.
lru cache,What is a use case for an LRU Cache?,Random access,Memory management,Filtering data,Sorting data,Memory management,Optimizes cache hits.
lru cache,What is the time complexity of LRU Cache operations?,O(n),O(1),O(log n),O(n^2),O(1),Efficient with hash map.
lru cache,What is a limitation of an LRU Cache?,Fast access,Fixed size,Low memory usage,Simple design,Fixed size,Requires eviction policy.
websocket,What are WebSockets used for?,Real-time bidirectional communication,Styling web pages,Managing databases,Encrypting data,Real-time bidirectional communication,Enables chat.
websocket,What protocol is used by WebSockets?,HTTP,WebSocket,TCP,UDP,WebSocket,Persistent connection.
websocket,What is a use case for WebSockets?,Data compression,Live updates,Sorting,Encryption,Live updates,Gaming apps.
websocket,What is a benefit of WebSockets?,High latency,Low latency,More memory usage,Longer execution,Low latency,Real-time interaction.
websocket,What is a limitation of WebSockets?,Server load,Simple design,Low cost,High speed,Server load,Scales with connections.
immutability,What is immutability in programming?,Data that can be changed,Data that cannot be changed after creation,Sorting data,Filtering data,Data that cannot be changed after creation,Ensures safety.
immutability,What language emphasizes immutability?,Scala,SQL,HTML,CSS,Scala,Functional programming focus.
immutability,What is a benefit of immutability?,Increased complexity,Thread safety,More memory usage,Slower execution,Thread safety,Reduces race conditions.
immutability,What is a use case for immutability?,Random access,State management,Filtering data,Sorting data,State management,Ensures predictability.
immutability,What is a limitation of immutability?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,May require copying.
dataclasses,What are dataclasses in Python?,A loop structure,A decorator for simplifying class creation,A data type,A sorting algorithm,A decorator for simplifying class creation,Introduced in Python 3.7.
dataclasses,What decorator defines a dataclass?,@dataclass,@class,@struct,@enum,@dataclass,Standard decorator.
dataclasses,What is a use case for dataclasses?,Random access,Data storage,Filtering data,Sorting data,Data storage,Simplifies boilerplate.
dataclasses,What is a benefit of dataclasses?,Increased complexity,Reduced boilerplate,More memory usage,Slower execution,Reduced boilerplate,Automatic methods.
dataclasses,What is a limitation of dataclasses?,Improved performance,Limited customization,Low memory usage,Fast execution,Limited customization,Default behavior.
bigint,What is a BigInt in JavaScript?,A 32-bit integer,An integer type for arbitrary precision,A floating-point number,A string type,An integer type for arbitrary precision,Handles large numbers.
bigint,What suffix creates a BigInt in JavaScript?,n,l,f,d,n,Appended to the number.
bigint,What is a use case for BigInt?,Random access,Cryptographic calculations,Filtering data,Sorting data,Cryptographic calculations,Handles large integers.
bigint,What is a benefit of BigInt?,Increased complexity,Precision,More memory usage,Slower execution,Precision,No rounding errors.
bigint,What is a limitation of BigInt?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Slower than regular numbers.
fold expression,What is a fold expression in C++?,A loop structure,An expression for applying operators over parameter packs,A data type,A sorting algorithm,An expression for applying operators over parameter packs,Introduced in C++17.
fold expression,What operator is used in fold expressions?,...,*,&,%,...,Expands the pack.
fold expression,What is a use case for fold expressions?,Random access,Variadic templates,Filtering data,Sorting data,Variadic templates,Simplifies operations.
fold expression,What is a benefit of fold expressions?,Increased complexity,Conciseness,More memory usage,Slower execution,Conciseness,Reduces boilerplate code.
fold expression,What is a limitation of fold expressions?,Improved performance,Limited to operators,Low memory usage,Fast execution,Limited to operators,Not for complex logic.
memory management,What is memory management in operating systems?,Allocating and deallocating memory for processes,Styling memory,Compressing memory,Encrypting memory,Allocating and deallocating memory for processes,Optimizes resource use.
memory management,What is a challenge of memory management?,Performance,Fragmentation,Simple design,Low cost,Fragmentation,Can lead to inefficient memory use.
memory management,What tool is used for memory management in C++?,new/delete,Garbage collector,Sort function,Filter function,new/delete,Manual allocation.
memory management,What is a use case for memory management?,Random access,Resource allocation,Filtering data,Sorting data,Resource allocation,Optimizes program execution.
memory management,What is a benefit of manual memory management?,Increased flexibility,Automatic cleanup,More memory usage,Slower execution,Increased flexibility,Full control over allocation.
memory management,What is a limitation of automatic memory management?,Improved performance,Overhead cost,Low memory usage,Fast execution,Overhead cost,Can pause execution.
divide and conquer,What is divide and conquer in algorithms?,A strategy of dividing problems into smaller subproblems,Solving problems randomly,Sorting data directly,Filtering data directly,A strategy of dividing problems into smaller subproblems,Used in mergesort.
divide and conquer,What algorithm uses divide and conquer?,Mergesort,Binary search,Linear search,Bubble sort,Mergesort,Splits and merges data.
divide and conquer,What is a use case for divide and conquer?,Random access,Large dataset processing,Filtering data,Sorting data,Large dataset processing,Efficient for scalability.
divide and conquer,What is a benefit of divide and conquer?,Increased complexity,Improved efficiency,More memory usage,Slower execution,Improved efficiency,Breaks down complexity.
divide and conquer,What is a limitation of divide and conquer?,Fast access,Overhead in small problems,Low memory usage,Simple design,Overhead in small problems,Not always optimal.
pattern matching,What is pattern matching in programming?,Matching data against a pattern,Sorting data,Filtering data directly,Compressing data,Matching data against a pattern,Used in regex.
pattern matching,What language supports pattern matching?,Scala,SQL,HTML,CSS,Scala,Functional programming feature.
pattern matching,What is a use case for pattern matching?,Random access,Data extraction,Filtering data,Sorting data,Data extraction,Parses structured data.
pattern matching,What is a benefit of pattern matching?,Increased complexity,Readability,More memory usage,Slower execution,Readability,Simplifies logic.
pattern matching,What is a limitation of pattern matching?,Improved performance,Complexity in large patterns,Low memory usage,Fast execution,Complexity in large patterns,Hard to maintain.
sealed class,What is a sealed class in programming?,A class that cannot be inherited,A class with restricted inheritance,A loop structure,A data type,A class with restricted inheritance,Ensures type safety.
sealed class,What language uses sealed classes?,Kotlin,Java,Python,C++,Kotlin,Prevents unwanted subclassing.
sealed class,What is a use case for sealed classes?,Random access,State management,Filtering data,Sorting data,State management,Defines hierarchy.
sealed class,What is a benefit of sealed classes?,Increased complexity,Type safety,More memory usage,Slower execution,Type safety,Reduces runtime errors.
sealed class,What is a limitation of sealed classes?,Improved performance,Reduced flexibility,Low memory usage,Fast execution,Reduced flexibility,Limits inheritance.
backtracking,What is backtracking in algorithms?,A strategy to explore solutions by trying possibilities,Solving problems randomly,Sorting data directly,Filtering data directly,A strategy to explore solutions by trying possibilities,Used in maze solving.
backtracking,What problem uses backtracking?,N-Queens,Linear search,Binary search,Bubble sort,N-Queens,Explores valid configurations.
backtracking,What is a use case for backtracking?,Random access,Constraint satisfaction,Filtering data,Sorting data,Constraint satisfaction,Solves puzzles.
backtracking,What is a benefit of backtracking?,Increased complexity,Exhaustive search,More memory usage,Slower execution,Exhaustive search,Finds all solutions.
backtracking,What is a limitation of backtracking?,Fast access,High time complexity,Low memory usage,Simple design,High time complexity,Exponential growth.
bit manipulation,What is bit manipulation?,Operations on bits at the binary level,Sorting binary data,Filtering binary data,Compressing data,Operations on bits at the binary level,Optimizes performance.
